Gene stable ID	Gene name	Transcript stable ID	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000006642	Yipf6	ENSRNOT00000076795	363476
ENSRNOG00000006642	Yipf6	ENSRNOT00000008705	363476
ENSRNOG00000006642	Yipf6	ENSRNOT00000090942	363476
ENSRNOG00000011276	Tmem254	ENSRNOT00000015011	290529
ENSRNOG00000011276	Tmem254	ENSRNOT00000088566	290529
ENSRNOG00000030216	Abcg3l1	ENSRNOT00000042532	289453
ENSRNOG00000030216	Abcg3l1	ENSRNOT00000087758	289453
ENSRNOG00000030216	Abcg3l1	ENSRNOT00000079795	289453
ENSRNOG00000054495	Cldn2	ENSRNOT00000083566	300920
ENSRNOG00000054495	Cldn2	ENSRNOT00000090928	300920
ENSRNOG00000054495	Cldn2	ENSRNOT00000085078	300920
ENSRNOG00000006082	Rmdn2	ENSRNOT00000008045	313840
ENSRNOG00000052173	AABR07008439.1	ENSRNOT00000082562	294789
ENSRNOG00000062213	AABR07066340.1	ENSRNOT00000093556	
ENSRNOG00000062200	AABR07066339.2	ENSRNOT00000093257	
ENSRNOG00000050325	Adgre4	ENSRNOT00000073659	450235
ENSRNOG00000050325	Adgre4	ENSRNOT00000080314	450235
ENSRNOG00000050325	Adgre4	ENSRNOT00000081513	450235
ENSRNOG00000006839	Arl5a	ENSRNOT00000009181	117050
ENSRNOG00000006839	Arl5a	ENSRNOT00000076134	117050
ENSRNOG00000062296	AABR07037406.1	ENSRNOT00000093504	
ENSRNOG00000028746	Gsto1	ENSRNOT00000076367	114846
ENSRNOG00000028746	Gsto1	ENSRNOT00000016851	114846
ENSRNOG00000028746	Gsto1	ENSRNOT00000077011	114846
ENSRNOG00000024960	Smco1	ENSRNOT00000029572	100911042
ENSRNOG00000024960	Smco1	ENSRNOT00000029572	498096
ENSRNOG00000007662	Zfp800	ENSRNOT00000087407	500057
ENSRNOG00000007662	Zfp800	ENSRNOT00000010223	500057
ENSRNOG00000012801	Gsto2	ENSRNOT00000017186	309465
ENSRNOG00000012801	Gsto2	ENSRNOT00000076251	309465
ENSRNOG00000012801	Gsto2	ENSRNOT00000076751	309465
ENSRNOG00000012801	Gsto2	ENSRNOT00000087894	309465
ENSRNOG00000017434	Mgat3	ENSRNOT00000023434	29582
ENSRNOG00000007710	Usp20	ENSRNOT00000010786	311856
ENSRNOG00000007710	Usp20	ENSRNOT00000093718	311856
ENSRNOG00000007710	Usp20	ENSRNOT00000093705	311856
ENSRNOG00000007710	Usp20	ENSRNOT00000093713	311856
ENSRNOG00000007710	Usp20	ENSRNOT00000093562	311856
ENSRNOG00000019687	Art2b	ENSRNOT00000026644	293152
ENSRNOG00000019687	Art2b	ENSRNOT00000076039	293152
ENSRNOG00000019687	Art2b	ENSRNOT00000076714	293152
ENSRNOG00000019687	Art2b	ENSRNOT00000087792	293152
ENSRNOG00000002669	Cluh	ENSRNOT00000003687	303300
ENSRNOG00000002669	Cluh	ENSRNOT00000092478	303300
ENSRNOG00000002669	Cluh	ENSRNOT00000092582	303300
ENSRNOG00000002669	Cluh	ENSRNOT00000092409	303300
ENSRNOG00000002669	Cluh	ENSRNOT00000092439	303300
ENSRNOG00000060846	Morc4	ENSRNOT00000088050	315914
ENSRNOG00000060846	Morc4	ENSRNOT00000083613	315914
ENSRNOG00000060846	Morc4	ENSRNOT00000089115	315914
ENSRNOG00000000720	MGC95208	ENSRNOT00000000911	304176
ENSRNOG00000061994	AABR07029958.1	ENSRNOT00000092430	
ENSRNOG00000062230	AABR07030502.1	ENSRNOT00000093453	450227
ENSRNOG00000011263	Plac9	ENSRNOT00000014964	361105
ENSRNOG00000017397	Upf3a	ENSRNOT00000066521	361176
ENSRNOG00000048838	Gjc1	ENSRNOT00000093570	266706
ENSRNOG00000048838	Gjc1	ENSRNOT00000073372	266706
ENSRNOG00000025480	AC135142.1	ENSRNOT00000037527	
ENSRNOG00000025480	AC135142.1	ENSRNOT00000092279	
ENSRNOG00000000481	Cuta	ENSRNOT00000092330	294288
ENSRNOG00000000481	Cuta	ENSRNOT00000000568	294288
ENSRNOG00000000481	Cuta	ENSRNOT00000092419	294288
ENSRNOG00000000481	Cuta	ENSRNOT00000092486	294288
ENSRNOG00000000481	Cuta	ENSRNOT00000092407	294288
ENSRNOG00000000481	Cuta	ENSRNOT00000072319	294288
ENSRNOG00000010085	Cldn10	ENSRNOT00000083269	290485
ENSRNOG00000010085	Cldn10	ENSRNOT00000093403	290485
ENSRNOG00000010085	Cldn10	ENSRNOT00000093487	290485
ENSRNOG00000010085	Cldn10	ENSRNOT00000013520	290485
ENSRNOG00000058072	LOC102554813	ENSRNOT00000086188	
ENSRNOG00000001479	Gtf2i	ENSRNOT00000040356	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000002020	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092982	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092956	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092754	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092988	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092995	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092870	353256
ENSRNOG00000001479	Gtf2i	ENSRNOT00000092881	353256
