Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000096629	ENSMUST00000096171	Gm3383		101055754
ENSMUSG00000040859	ENSMUST00000138013	Bsdc1		100383
ENSMUSG00000047675	ENSMUST00000102696	Rps8		
ENSMUSG00000026854	ENSMUST00000170476	Usp20		74270
ENSMUSG00000026781	ENSMUST00000114529	Acbd5		74159
ENSMUSG00000026781	ENSMUST00000114526	Acbd5		74159
ENSMUSG00000026781	ENSMUST00000228050	Acbd5		74159
ENSMUSG00000022338	ENSMUST00000226827	Eny2		223527
ENSMUSG00000015755	ENSMUST00000130322	Tab2		68652
ENSMUSG00000022338	ENSMUST00000227425	Eny2		223527
ENSMUSG00000026781	ENSMUST00000114523	Acbd5		74159
ENSMUSG00000026781	ENSMUST00000155602	Acbd5		74159
ENSMUSG00000024833	ENSMUST00000236013	Pola2		18969
ENSMUSG00000040446	ENSMUST00000046206	Rprd1a		225283
ENSMUSG00000022338	ENSMUST00000060652	Eny2		223527
ENSMUSG00000008489	ENSMUST00000107118	Elavl2		15569
ENSMUSG00000022338	ENSMUST00000226336	Eny2		223527
ENSMUSG00000038987	ENSMUST00000102813	Cfap157		227736
ENSMUSG00000022338	ENSMUST00000228130	Eny2		223527
ENSMUSG00000028240	ENSMUST00000029905	Cyp7a1	00120+1.14.14.23	13122
ENSMUSG00000028240	ENSMUST00000029905	Cyp7a1	00140+1.14.14.23	13122
ENSMUSG00000033933	ENSMUST00000035673	Vhl		22346
ENSMUSG00000034105	ENSMUST00000049156	Meak7		74347
ENSMUSG00000024833	ENSMUST00000235224	Pola2		18969
ENSMUSG00000008489	ENSMUST00000107120	Elavl2		15569
ENSMUSG00000034105	ENSMUST00000212534	Meak7		74347
ENSMUSG00000015755	ENSMUST00000146444	Tab2		68652
ENSMUSG00000033933	ENSMUST00000204915	Vhl		22346
ENSMUSG00000008489	ENSMUST00000102799	Elavl2		15569
ENSMUSG00000096580	ENSMUST00000103305	Igkv1-132		
ENSMUSG00000015755	ENSMUST00000147938	Tab2		68652
ENSMUSG00000032114	ENSMUST00000215420	Slc37a4		14385
ENSMUSG00000008489	ENSMUST00000107116	Elavl2		15569
