Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	Gene name
ENSCAFG00000008245	ENSCAFT00000068653	476863	FAR1
ENSCAFG00000008245	ENSCAFT00000068162	476863	FAR1
ENSCAFG00000008245	ENSCAFT00000082916	476863	FAR1
ENSCAFG00000008245	ENSCAFT00000013198	476863	FAR1
ENSCAFG00000008245	ENSCAFT00000093132	476863	FAR1
ENSCAFG00000044408	ENSCAFT00000078132	610835	SGK2
ENSCAFG00000032782	ENSCAFT00000059279		
ENSCAFG00000039123	ENSCAFT00000058219		
ENSCAFG00000010841	ENSCAFT00000017237		
ENSCAFG00000014117	ENSCAFT00000022409	486408	MMP11
ENSCAFG00000014117	ENSCAFT00000089387	486408	MMP11
ENSCAFG00000014117	ENSCAFT00000068396	486408	MMP11
ENSCAFG00000011484	ENSCAFT00000044301	612838	GIGYF2
ENSCAFG00000011484	ENSCAFT00000018353	612838	GIGYF2
ENSCAFG00000007669	ENSCAFT00000038928	477354	CLCN3
ENSCAFG00000007669	ENSCAFT00000064526	477354	CLCN3
ENSCAFG00000007669	ENSCAFT00000038926	477354	CLCN3
ENSCAFG00000007669	ENSCAFT00000092167	477354	CLCN3
ENSCAFG00000009906	ENSCAFT00000015756	477500	VSIG10
ENSCAFG00000009906	ENSCAFT00000050037	477500	VSIG10
ENSCAFG00000009906	ENSCAFT00000066335	477500	VSIG10
ENSCAFG00000009906	ENSCAFT00000015752	477500	VSIG10
ENSCAFG00000009906	ENSCAFT00000092286	477500	VSIG10
ENSCAFG00000009906	ENSCAFT00000015756	486292	VSIG10
ENSCAFG00000009906	ENSCAFT00000050037	486292	VSIG10
ENSCAFG00000009906	ENSCAFT00000066335	486292	VSIG10
ENSCAFG00000009906	ENSCAFT00000015752	486292	VSIG10
ENSCAFG00000009906	ENSCAFT00000092286	486292	VSIG10
ENSCAFG00000028587	ENSCAFT00000049629	486692	
ENSCAFG00000006262	ENSCAFT00000092438	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000067046	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000073623	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000084285	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000072719	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000062323	485663	DNAJC13
ENSCAFG00000006262	ENSCAFT00000010177	485663	DNAJC13
ENSCAFG00000007928	ENSCAFT00000012672	486545	ATF1
ENSCAFG00000007928	ENSCAFT00000081460	486545	ATF1
ENSCAFG00000007928	ENSCAFT00000074501	486545	ATF1
ENSCAFG00000007928	ENSCAFT00000078821	486545	ATF1
ENSCAFG00000007928	ENSCAFT00000045349	486545	ATF1
ENSCAFG00000007928	ENSCAFT00000012672	608553	ATF1
ENSCAFG00000007928	ENSCAFT00000081460	608553	ATF1
ENSCAFG00000007928	ENSCAFT00000074501	608553	ATF1
ENSCAFG00000007928	ENSCAFT00000078821	608553	ATF1
ENSCAFG00000007928	ENSCAFT00000045349	608553	ATF1
ENSCAFG00000008746	ENSCAFT00000013907	100684810	PLCH1
ENSCAFG00000008746	ENSCAFT00000079457	100684810	PLCH1
ENSCAFG00000008746	ENSCAFT00000085170	100684810	PLCH1
ENSCAFG00000008746	ENSCAFT00000079844	100684810	PLCH1
ENSCAFG00000008746	ENSCAFT00000013905	100684810	PLCH1
ENSCAFG00000008746	ENSCAFT00000082893	100684810	PLCH1
ENSCAFG00000028205	ENSCAFT00000042488		U6
ENSCAFG00000031226	ENSCAFT00000010039		
ENSCAFG00000047569	ENSCAFT00000075323		
ENSCAFG00000010819	ENSCAFT00000017253	483688	PPP6R3
